"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Barnhart, Tucker","571466","2018","522","10","96",18.4,10.3,".248",".372",".328",".307",".301",35.7,3.5,30.3,"96.579929171","92.342225651",24.6,20.2,45.7
"Gennett, Scooter","571697","2018","638","23","125",19.6,6.6,".310",".490",".357",".362",".311",37.5,5.8,32.3,"97.179696753","92.670910889",36.3,20.1,53.6
"Hamilton, Billy","571740","2018","556","4","132",23.7,8.3,".236",".327",".299",".277",".256",36.6,0.5,8.5,"89.217314033","89.436125276",26.8,23.3,48.6
"Haniger, Mitch","571745","2018","683","26","148",21.7,10.2,".285",".493",".366",".367",".370",36.5,10.3,43.2,"100.909986608","94.71924207",22.5,23.3,41.8
"Piscotty, Stephen","572039","2018","605","27","114",18.8,6.9,".267",".491",".331",".351",".356",34.3,9.6,38.7,"99.557644654","93.875006475",34.3,25.5,53.3
"Seager, Kyle","572122","2018","630","22","138",21.9,6,".221",".400",".273",".288",".305",37,5.6,39.6,"98.826304866","93.604766094",27.4,22.3,47.2
"Carpenter, Matt","572761","2018","676","36","158",23.4,15.1,".257",".523",".374",".375",".389",44.1,13.7,44.7,"100.1082214","94.5737371",18.6,24.1,37.5
"Dickerson, Corey","572816","2018","533","13","80",15,3.9,".300",".474",".330",".341",".330",37.6,6.1,32.4,"97.786101745","92.916270165",41.8,22,59.4
"Dozier, Brian","572821","2018","632","21","129",20.4,11.1,".215",".391",".305",".304",".288",30.5,6.3,29.4,"96.03410601","92.028184038",23.5,22.6,39.8
"Contreras, Willson","575929","2018","544","10","121",22.2,9.7,".249",".390",".339",".321",".303",28.9,7.3,33.3,"99.890442931","93.949346351",31.3,28,49.7
"Castellanos, Nick","592206","2018","678","23","151",22.3,7.2,".298",".500",".354",".363",".374",45.3,11.2,40.7,"99.334787542","93.887539089",35.5,30.2,55.1
"Healy, Ryon","592387","2018","524","24","113",21.6,5.2,".235",".412",".277",".296",".322",32.2,7.1,41.6,"100.362215526","94.321891316",33.7,25.4,47.5
"Machado, Manny","592518","2018","709","37","104",14.7,9.9,".297",".538",".367",".377",".372",33.8,11.3,48.2,"102.92654779","95.846052083",28.5,22.2,48.9
"Realmuto, J.T.","592663","2018","529","21","104",19.7,7.2,".277",".484",".340",".353",".351",39.8,9,41.2,"99.592811111","93.991368276",25.9,22.5,47.1
"Rosario, Eddie","592696","2018","592","24","104",17.6,5.1,".288",".479",".323",".340",".302",32.5,8.3,34.2,"97.544744865","92.844520405",41.9,23.3,58
"Simmons, Andrelton","592743","2018","600","11","44",7.3,5.8,".292",".417",".337",".326",".316",28.3,4.1,36.3,"98.349949646","93.226546693",23.7,13.6,45.6
"Yelich, Christian","592885","2018","651","36","135",20.7,10.4,".326",".598",".402",".422",".417",36.7,12.9,50.8,"103.601265936","96.465574863",25,22.8,44.3
